Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
15645,PSY 2012 - 0078   Introduction To Psychology,0078-LEC Main Sess,Staff,30,28,2,0,0
15646,PSY 2012 - 0079   Introduction To Psychology,0079-LEC Main Sess,Staff,30,28,2,0,0
15647,PSY 2012 - 0080   Introduction To Psychology,0080-LEC Main Sess,Staff,30,27,3,0,0
15648,PSY 2012 - 0081   Introduction To Psychology,0081-LEC Main Sess,Staff,30,26,4,0,0
15687,PSY 2012 - 0083   Introduction To Psychology,0083-LEC Conversion,Staff,30,26,4,0,0
15649,PSY 2012 - 0084   Introduction To Psychology,0084-LEC Main Sess,Staff,39,27,12,0,0
15650,PSY 2012 - 0085   Introduction To Psychology,0085-LEC Main Sess,Staff,39,20,19,0,0
15651,PSY 2012 - 0086   Introduction To Psychology,0086-LEC Main Sess,Staff,39,33,6,0,0
15681,PSY 2012 - 0087   Introduction To Psychology,0087-LEC Eight Wk 1,Staff,39,0,39,0,0
15652,PSY 2012 - 0088   Introduction To Psychology,0088-LEC Main Sess,Staff,39,35,4,0,0
15653,PSY 2012 - 0089   Introduction To Psychology,0089-LEC Main Sess,Staff,39,36,3,0,0
15654,PSY 2012 - 0090   Introduction To Psychology,0090-LEC Main Sess,Staff,39,0,39,0,0
15655,PSY 2012 - 0091   Introduction To Psychology,0091-LEC Main Sess,Staff,40,38,2,0,0
15656,PSY 2012 - 0092   Introduction To Psychology,0092-LEC Main Sess,Staff,25,11,14,0,0
15695,PSY 2012 - 0093   Introduction To Psychology,0093-LEC 1st Mon Sp,Staff,40,39,1,0,0
15657,PSY 2012 - 0094   Introduction To Psychology,0094-LEC Main Sess,Staff,40,4,36,0,0
15658,PSY 2012 - 0095   Introduction To Psychology,0095-LEC Main Sess,Staff,40,21,19,0,0
15659,PSY 2012 - 0096   Introduction To Psychology,0096-LEC Main Sess,Staff,40,38,2,0,0
15660,PSY 2012 - 0097   Introduction To Psychology,0097-LEC Main Sess,Staff,40,39,1,0,0
15661,PSY 2012 - 0098   Introduction To Psychology,0098-LEC Main Sess,Staff,30,29,1,0,0
15662,PSY 2012 - 0099   Introduction To Psychology,0099-LEC Main Sess,Staff,36,34,2,0,0
15663,PSY 2012 - 0100   Introduction To Psychology,0100-LEC Main Sess,Staff,35,23,12,0,0
15664,PSY 2012 - 0101   Introduction To Psychology,0101-LEC Main Sess,Staff,36,30,6,0,0
15675,PSY 2012 - 0102   Introduction To Psychology,0102-LEC Twelve Wk,Staff,43,25,18,0,0
15674,PSY 2012 - 0103   Introduction To Psychology,0103-LEC Twelve Wk,Staff,33,15,18,0,0
15673,PSY 2012 - 0104   Introduction To Psychology,0104-LEC Twelve Wk,Staff,36,35,1,0,0
15697,PSY 2012 - 0105   Introduction To Psychology,0105-LEC Weekend,Staff,36,0,36,0,0
15665,PSY 2012 - 0106   Introduction To Psychology,0106-LEC Main Sess,Staff,45,34,11,0,0
15691,PSY 2012 - 0107   Introduction To Psychology,0107-LEC Conversion,Staff,36,15,21,0,0
15666,PSY 2012 - 0108   Introduction To Psychology,0108-LEC Main Sess,Staff,30,29,1,0,0
15682,PSY 2012 - 0110   Introduction To Psychology,0110-LEC Eight Wk 1,Staff,35,33,2,0,0
15693,PSY 2012 - 0111   Introduction To Psychology,0111-LEC Conversion,Staff,35,30,5,0,0
15686,PSY 2012 - 0112   Introduction To Psychology,0112-LEC Conversion,Staff,35,24,11,0,0
15668,PSY 2012 - 0113   Introduction To Psychology,0113-LEC Main Sess,Staff,35,31,4,0,0
15669,PSY 2012 - 0114   Introduction To Psychology,0114-LEC Main Sess,Staff,30,20,10,0,0
13242,WOH 2012 - 0001   History of World Civilization to 1789,0001-LEC Main Sess,Staff,20,15,5,0,0
13243,WOH 2012 - 0002   History of World Civilization to 1789,0002-LEC Main Sess,Staff,45,28,17,0,0
13244,WOH 2012 - 0003   History of World Civilization to 1789,0003-LEC Main Sess,Staff,30,22,8,0,0
13248,WOH 2012 - 0004   History of World Civilization to 1789,0004-LEC Conversion,Staff,25,11,14,0,0
13245,WOH 2012 - 0005   History of World Civilization to 1789,0005-LEC Main Sess,Staff,45,24,21,0,0
13246,WOH 2012 - 0006   History of World Civilization to 1789,0006-LEC Main Sess,Staff,30,27,3,0,0
13247,WOH 2012 - 0007   History of World Civilization to 1789,0007-LEC Main Sess,Staff,34,27,7,0,0
6256,ACG 2011 - 0001   Principles Of Accounting 2,0001-LEC Main Sess,Staff,35,16,19,0,0
6259,ACG 2011 - 0002   Principles Of Accounting 2,0002-LEC Eight Wk 2,Staff,35,9,26,0,0
6257,ACG 2011 - 0003   Principles Of Accounting 2,0003-LEC Main Sess,Staff,25,0,25,0,0
6258,ACG 2011 - 0004   Principles Of Accounting 2,0004-LEC Main Sess,Staff,30,22,8,0,0
5402,BSC 2011 - 0001   Principles Of Biology 2,0001-LEC Main Sess,Staff,20,14,6,0,0
5403,BSC 2011 - 0002   Principles Of Biology 2,0002-LEC Main Sess,Staff,40,6,34,0,0
5407,BSC 2011 - 0004   Principles Of Biology 2,0004-LEC Main Sess,Staff,45,40,5,0,0
5408,BSC 2011 - 0005   Principles Of Biology 2,0005-LEC Main Sess,Staff,49,46,3,0,0
5409,BSC 2011 - 0006   Principles Of Biology 2,0006-LEC Main Sess,Staff,49,21,28,0,0
5415,BSC 2011 - 0007   Principles Of Biology 2,0007-LEC Twelve Wk,Staff,39,14,25,0,0
5410,BSC 2011 - 0008   Principles Of Biology 2,0008-LEC Main Sess,Staff,40,38,2,0,0
5416,BSC 2011 - 0009   Principles Of Biology 2,0009-LEC Twelve Wk,Staff,1,0,1,0,0
5411,BSC 2011 - 0010   Principles Of Biology 2,0010-LEC Main Sess,Staff,45,43,2,0,0
5412,BSC 2011 - 0011   Principles Of Biology 2,0011-LEC Main Sess,Staff,12,0,12,0,0
5413,BSC 2011 - 0012   Principles Of Biology 2,0012-LEC Main Sess,Staff,45,19,26,0,0
5414,BSC 2011 - 0013   Principles Of Biology 2,0013-LEC Main Sess,Staff,39,9,30,0,0
5405,BSC 2011 - 0014   Principles Of Biology 2,0014-LEC Main Sess,Staff,35,22,13,0,0
5417,BSC 2011 - 0015   Principles Of Biology 2,0015-LEC Weekend,Staff,40,20,20,0,0
7082,AMH 2010 - 0001   History of the US to 1877,0001-LEC Main Sess,Staff,40,31,9,0,0
7083,AMH 2010 - 0002   History of the US to 1877,0002-LEC Main Sess,Staff,40,15,25,0,0
7090,AMH 2010 - 0003   History of the US to 1877,0003-LEC Main Sess,Staff,30,13,17,0,0
7091,AMH 2010 - 0004   History of the US to 1877,0004-LEC Main Sess,Staff,42,15,27,0,0
7092,AMH 2010 - 0005   History of the US to 1877,0005-LEC Main Sess,Staff,48,26,22,0,0
7093,AMH 2010 - 0006   History of the US to 1877,0006-LEC Main Sess,Staff,49,26,23,0,0
7094,AMH 2010 - 0007   History of the US to 1877,0007-LEC Main Sess,Staff,48,0,48,0,0
7095,AMH 2010 - 0008   History of the US to 1877,0008-LEC Main Sess,Staff,35,34,1,0,0
7096,AMH 2010 - 0009   History of the US to 1877,0009-LEC Main Sess,Staff,30,22,8,0,0
7104,AMH 2010 - 0010   History of the US to 1877,0010-LEC Eight Wk 2,Staff,30,27,3,0,0
7097,AMH 2010 - 0011   History of the US to 1877,0011-LEC Main Sess,Staff,45,35,10,0,0
7098,AMH 2010 - 0012   History of the US to 1877,0012-LEC Main Sess,Staff,45,18,27,0,0
7099,AMH 2010 - 0013   History of the US to 1877,0013-LEC Main Sess,Staff,47,0,47,0,0
7106,AMH 2010 - 0014   History of the US to 1877,0014-LEC Conversion,Staff,34,33,1,0,0
7107,AMH 2010 - 0015   History of the US to 1877,0015-LEC Conversion,Staff,34,28,6,0,0
7100,AMH 2010 - 0016   History of the US to 1877,0016-LEC Main Sess,Staff,30,28,2,0,0
7089,AMH 2010 - 0017   History of the US to 1877,0017-LEC Main Sess,Staff,34,32,2,0,0
7102,AMH 2010 - 0019   History of the US to 1877,0019-LEC Twelve Wk,Staff,39,0,39,0,0
7103,AMH 2010 - 0020   History of the US to 1877,0020-LEC Eight Wk 1,Staff,39,0,39,0,0
7105,AMH 2010 - 0021   History of the US to 1877,0021-LEC Eight Wk 2,Staff,39,0,39,0,0
7087,AMH 2010 - 0022   History of the US to 1877,0022-LEC Main Sess,Staff,37,21,16,0,0
7086,AMH 2010 - 0023   History of the US to 1877,0023-LEC Main Sess,Staff,29,7,22,0,0
7085,AMH 2010 - 0024   History of the US to 1877,0024-LEC Main Sess,Staff,35,14,21,0,0
7101,AMH 2010 - 0025   History of the US to 1877,0025-LEC Twelve Wk,Staff,30,0,30,0,0
7084,AMH 2010 - 0026   History of the US to 1877,0026-LEC Main Sess,Staff,35,0,35,0,0
7514,BSC 2010 - 0001   Principles Of Biology,0001-LEC Main Sess,Staff,45,42,3,0,0
7515,BSC 2010 - 0002   Principles Of Biology,0002-LEC Main Sess,Staff,45,25,20,0,0
7518,BSC 2010 - 0004   Principles Of Biology,0004-LEC Main Sess,Staff,49,25,24,0,0
7519,BSC 2010 - 0005   Principles Of Biology,0005-LEC Main Sess,Staff,49,31,18,0,0
7520,BSC 2010 - 0006   Principles Of Biology,0006-LEC Main Sess,Staff,49,18,31,0,0
7521,BSC 2010 - 0007   Principles Of Biology,0007-LEC Main Sess,Staff,40,29,11,0,0
7522,BSC 2010 - 0008   Principles Of Biology,0008-LEC Main Sess,Staff,49,25,24,0,0
7523,BSC 2010 - 0009   Principles Of Biology,0009-LEC Main Sess,Staff,49,29,20,0,0
7532,BSC 2010 - 0010   Principles Of Biology,0010-LEC Twelve Wk,Staff,49,26,23,0,0
7525,BSC 2010 - 0012   Principles Of Biology,0012-LEC Main Sess,Staff,45,35,10,0,0
7526,BSC 2010 - 0013   Principles Of Biology,0013-LEC Main Sess,Staff,25,22,3,0,0
7527,BSC 2010 - 0014   Principles Of Biology,0014-LEC Main Sess,Staff,45,0,45,0,0
7528,BSC 2010 - 0015   Principles Of Biology,0015-LEC Main Sess,Staff,30,23,7,0,0
7533,BSC 2010 - 0016   Principles Of Biology,0016-LEC Conversion,Staff,30,20,10,0,0
7529,BSC 2010 - 0017   Principles Of Biology,0017-LEC Main Sess,Staff,24,23,1,0,0
7530,BSC 2010 - 0018   Principles Of Biology,0018-LEC Main Sess,Staff,40,19,21,0,0
7531,BSC 2010 - 0019   Principles Of Biology,0019-LEC Main Sess,Staff,40,23,17,0,0
7516,BSC 2010 - 0021   Principles Of Biology,0021-LEC Main Sess,Staff,32,0,32,0,0
11337,FIN 2010 - 0001   Investments In Stocks And Bonds,0001-LEC Weekend,Staff,32,0,32,0,0
11336,FIN 2010 - 0002   Investments In Stocks And Bonds,0002-LEC Main Sess,Staff,30,19,11,0,0
16305,MCB 2010 - 0001   Microbiology,0001-LEC Main Sess,Staff,40,21,19,0,0
16306,MCB 2010 - 0002   Microbiology,0002-LEC Main Sess,Staff,40,35,5,0,0
16334,MCB 2010 - 0003   Microbiology,0003-LEC Twelve Wk,Staff,40,28,12,0,0
16315,MCB 2010 - 0004   Microbiology,0004-LEC Main Sess,Staff,40,35,5,0,0
16316,MCB 2010 - 0005   Microbiology,0005-LEC Main Sess,Staff,40,38,2,0,0
16317,MCB 2010 - 0006   Microbiology,0006-LEC Main Sess,Staff,40,39,1,0,0
16341,MCB 2010 - 0007   Microbiology,0007-LEC Weekend,Staff,40,36,4,0,0
16319,MCB 2010 - 0009   Microbiology,0009-LEC Main Sess,Staff,40,25,15,0,0
16322,MCB 2010 - 0012   Microbiology,0012-LEC Main Sess,Staff,49,43,6,0,0
16323,MCB 2010 - 0013   Microbiology,0013-LEC Main Sess,Staff,40,31,9,0,0
16324,MCB 2010 - 0014   Microbiology,0014-LEC Main Sess,Staff,49,46,3,0,0
16325,MCB 2010 - 0015   Microbiology,0015-LEC Main Sess,Staff,36,34,2,0,0
16326,MCB 2010 - 0016   Microbiology,0016-LEC Main Sess,Staff,38,36,2,0,0
16328,MCB 2010 - 0018   Microbiology,0018-LEC Main Sess,Staff,45,0,45,0,0
16335,MCB 2010 - 0019   Microbiology,0019-LEC Conversion,Staff,25,23,2,0,0
16329,MCB 2010 - 0020   Microbiology,0020-LEC Main Sess,Staff,25,21,4,0,0
16330,MCB 2010 - 0021   Microbiology,0021-LEC Main Sess,Staff,45,25,20,0,0
16331,MCB 2010 - 0022   Microbiology,0022-LEC Main Sess,Staff,45,42,3,0,0
16332,MCB 2010 - 0023   Microbiology,0023-LEC Main Sess,Staff,30,26,4,0,0
16314,MCB 2010 - 0024   Microbiology,0024-LEC Main Sess,Staff,45,25,20,0,0
16313,MCB 2010 - 0025   Microbiology,0025-LEC Main Sess,Staff,30,25,5,0,0
16312,MCB 2010 - 0026   Microbiology,0026-LEC Main Sess,Staff,30,27,3,0,0
16311,MCB 2010 - 0027   Microbiology,0027-LEC Main Sess,Staff,30,25,5,0,0
16310,MCB 2010 - 0028   Microbiology,0028-LEC Main Sess,Staff,30,27,3,0,0
16309,MCB 2010 - 0029   Microbiology,0029-LEC Main Sess,Staff,30,27,3,0,0
16337,MCB 2010 - 0030   Microbiology,0030-LEC Conversion,Staff,39,22,17,0,0
16336,MCB 2010 - 0031   Microbiology,0031-LEC Conversion,Staff,39,17,22,0,0
16308,MCB 2010 - 0032   Microbiology,0032-LEC Main Sess,Staff,39,0,39,0,0
16307,MCB 2010 - 0033   Microbiology,0033-LEC Main Sess,Staff,40,21,19,0,0
16338,MCB 2010 - 0034   Microbiology,0034-LEC 1st Mon Sp,Staff,34,31,3,0,0
16340,MCB 2010 - 0035   Microbiology,0035-LEC Weekend,Staff,20,0,20,0,0
16333,MCB 2010 - 0036   Microbiology,0036-LEC Twelve Wk,Staff,20,17,3,0,0
16339,MCB 2010 - 0037   Microbiology,0037-LEC 1st Mon Sp,Staff,20,0,20,0,0
15338,PHI 2010 - 0001   Introduction To Philosophy,0001-LEC Main Sess,Staff,40,37,3,0,0
15339,PHI 2010 - 0002   Introduction To Philosophy,0002-LEC Main Sess,Staff,20,19,1,0,0
15340,PHI 2010 - 0003   Introduction To Philosophy,0003-LEC Main Sess,Staff,40,39,1,0,0
15341,PHI 2010 - 0004   Introduction To Philosophy,0004-LEC Main Sess,Staff,35,10,25,0,0
15439,PHI 2010 - 0005   Introduction To Philosophy,0005-LEC 1st Mon Sp,Staff,40,39,1,0,0
15343,PHI 2010 - 0007   Introduction To Philosophy,0007-LEC Main Sess,Staff,40,37,3,0,0
15347,PHI 2010 - 0011   Introduction To Philosophy,0011-LEC Main Sess,Staff,40,37,3,0,0
15425,PHI 2010 - 0012   Introduction To Philosophy,0012-LEC Twelve Wk,Staff,30,0,30,0,0
15424,PHI 2010 - 0013   Introduction To Philosophy,0013-LEC Twelve Wk,Staff,40,35,5,0,0
15440,PHI 2010 - 0014   Introduction To Philosophy,0014-LEC 1st Mon Sp,Staff,40,0,40,0,0
15419,PHI 2010 - 0015   Introduction To Philosophy,0015-LEC Main Sess,Staff,40,38,2,0,0
15348,PHI 2010 - 0016   Introduction To Philosophy,0016-LEC Main Sess,Staff,40,38,2,0,0
15349,PHI 2010 - 0018   Introduction To Philosophy,0018-LEC Main Sess,Staff,40,0,40,0,0
15423,PHI 2010 - 0019   Introduction To Philosophy,0019-LEC Twelve Wk,Staff,40,38,2,0,0
15351,PHI 2010 - 0021   Introduction To Philosophy,0021-LEC Main Sess,Staff,40,36,4,0,0
15352,PHI 2010 - 0022   Introduction To Philosophy,0022-LEC Main Sess,Staff,30,27,3,0,0
15442,PHI 2010 - 0023   Introduction To Philosophy,0023-LEC Weekend,Staff,37,30,7,0,0
15353,PHI 2010 - 0024   Introduction To Philosophy,0024-LEC Main Sess,Staff,35,0,35,0,0
15354,PHI 2010 - 0025   Introduction To Philosophy,0025-LEC Main Sess,Staff,40,34,6,0,0
15355,PHI 2010 - 0026   Introduction To Philosophy,0026-LEC Main Sess,Staff,38,33,5,0,0
15356,PHI 2010 - 0027   Introduction To Philosophy,0027-LEC Main Sess,Staff,40,38,2,0,0
15357,PHI 2010 - 0028   Introduction To Philosophy,0028-LEC Main Sess,Staff,40,34,6,0,0
15358,PHI 2010 - 0029   Introduction To Philosophy,0029-LEC Main Sess,Staff,37,34,3,0,0
15359,PHI 2010 - 0030   Introduction To Philosophy,0030-LEC Main Sess,Staff,38,24,14,0,0
15361,PHI 2010 - 0032   Introduction To Philosophy,0032-LEC Main Sess,Staff,40,0,40,0,0
15363,PHI 2010 - 0034   Introduction To Philosophy,0034-LEC Main Sess,Staff,25,0,25,0,0
15364,PHI 2010 - 0035   Introduction To Philosophy,0035-LEC Main Sess,Staff,40,36,4,0,0
15366,PHI 2010 - 0037   Introduction To Philosophy,0037-LEC Main Sess,Staff,37,36,1,0,0
15367,PHI 2010 - 0038   Introduction To Philosophy,0038-LEC Main Sess,Staff,37,34,3,0,0
15422,PHI 2010 - 0039   Introduction To Philosophy,0039-LEC Twelve Wk,Staff,30,25,5,0,0
15369,PHI 2010 - 0041   Introduction To Philosophy,0041-LEC Main Sess,Staff,40,36,4,0,0
15370,PHI 2010 - 0042   Introduction To Philosophy,0042-LEC Main Sess,Staff,40,38,2,0,0
15371,PHI 2010 - 0043   Introduction To Philosophy,0043-LEC Main Sess,Staff,40,37,3,0,0
15375,PHI 2010 - 0047   Introduction To Philosophy,0047-LEC Main Sess,Staff,40,38,2,0,0
15421,PHI 2010 - 0048   Introduction To Philosophy,0048-LEC Twelve Wk,Staff,30,27,3,0,0
15376,PHI 2010 - 0049   Introduction To Philosophy,0049-LEC Main Sess,Staff,45,44,1,0,0
15377,PHI 2010 - 0050   Introduction To Philosophy,0050-LEC Main Sess,Staff,50,43,7,0,0
15378,PHI 2010 - 0051   Introduction To Philosophy,0051-LEC Main Sess,Staff,50,40,10,0,0
15434,PHI 2010 - 0055   Introduction To Philosophy,0055-LEC Conversion,Staff,35,30,5,0,0
15433,PHI 2010 - 0056   Introduction To Philosophy,0056-LEC Conversion,Staff,50,31,19,0,0
15420,PHI 2010 - 0057   Introduction To Philosophy,0057-LEC Twelve Wk,Staff,1,0,1,0,0
15437,PHI 2010 - 0058   Introduction To Philosophy,0058-LEC Conversion,Staff,30,0,30,0,0
15383,PHI 2010 - 0060   Introduction To Philosophy,0060-LEC Main Sess,Staff,50,49,1,0,0
15384,PHI 2010 - 0061   Introduction To Philosophy,0061-LEC Main Sess,Staff,50,48,2,0,0
15426,PHI 2010 - 0062   Introduction To Philosophy,0062-LEC Eight Wk 2,Staff,1,0,1,0,0
15427,PHI 2010 - 0063   Introduction To Philosophy,0063-LEC Eight Wk 2,Staff,50,48,2,0,0
15385,PHI 2010 - 0064   Introduction To Philosophy,0064-LEC Main Sess,Staff,34,28,6,0,0
15386,PHI 2010 - 0065   Introduction To Philosophy,0065-LEC Main Sess,Staff,34,29,5,0,0
15387,PHI 2010 - 0066   Introduction To Philosophy,0066-LEC Main Sess,Staff,34,30,4,0,0
15388,PHI 2010 - 0067   Introduction To Philosophy,0067-LEC Main Sess,Staff,34,33,1,0,0
15389,PHI 2010 - 0068   Introduction To Philosophy,0068-LEC Main Sess,Staff,34,28,6,0,0
15390,PHI 2010 - 0069   Introduction To Philosophy,0069-LEC Main Sess,Staff,34,31,3,0,0
15431,PHI 2010 - 0071   Introduction To Philosophy,0071-LEC Conversion,Staff,34,33,1,0,0
15430,PHI 2010 - 0072   Introduction To Philosophy,0072-LEC Conversion,Staff,34,33,1,0,0
15391,PHI 2010 - 0073   Introduction To Philosophy,0073-LEC Main Sess,Staff,30,27,3,0,0
15392,PHI 2010 - 0074   Introduction To Philosophy,0074-LEC Main Sess,Staff,30,28,2,0,0
15393,PHI 2010 - 0075   Introduction To Philosophy,0075-LEC Main Sess,Staff,34,29,5,0,0
15394,PHI 2010 - 0076   Introduction To Philosophy,0076-LEC Main Sess,Staff,34,28,6,0,0
15429,PHI 2010 - 0077   Introduction To Philosophy,0077-LEC Conversion,Staff,34,31,3,0,0
15395,PHI 2010 - 0078   Introduction To Philosophy,0078-LEC Main Sess,Staff,34,31,3,0,0
15396,PHI 2010 - 0079   Introduction To Philosophy,0079-LEC Main Sess,Staff,30,28,2,0,0
15397,PHI 2010 - 0080   Introduction To Philosophy,0080-LEC Main Sess,Staff,30,29,1,0,0
15398,PHI 2010 - 0081   Introduction To Philosophy,0081-LEC Main Sess,Staff,34,30,4,0,0
15399,PHI 2010 - 0082   Introduction To Philosophy,0082-LEC Main Sess,Staff,39,37,2,0,0
15403,PHI 2010 - 0086   Introduction To Philosophy,0086-LEC Main Sess,Staff,29,0,29,0,0
15404,PHI 2010 - 0087   Introduction To Philosophy,0087-LEC Main Sess,Staff,36,35,1,0,0
15405,PHI 2010 - 0088   Introduction To Philosophy,0088-LEC Main Sess,Staff,36,19,17,0,0
15406,PHI 2010 - 0089   Introduction To Philosophy,0089-LEC Main Sess,Staff,38,33,5,0,0
15407,PHI 2010 - 0090   Introduction To Philosophy,0090-LEC Main Sess,Staff,20,11,9,0,0
15408,PHI 2010 - 0091   Introduction To Philosophy,0091-LEC Main Sess,Staff,25,16,9,0,0
15410,PHI 2010 - 0093   Introduction To Philosophy,0093-LEC Main Sess,Staff,35,31,4,0,0
15438,PHI 2010 - 0095   Introduction To Philosophy,0095-LEC 1st Mon Sp,Staff,45,44,1,0,0
15412,PHI 2010 - 0096   Introduction To Philosophy,0096-LEC Main Sess,Staff,36,30,6,0,0
15413,PHI 2010 - 0097   Introduction To Philosophy,0097-LEC Main Sess,Staff,36,33,3,0,0
15415,PHI 2010 - 0099   Introduction To Philosophy,0099-LEC Main Sess,Staff,36,34,2,0,0
15436,PHI 2010 - 0100   Introduction To Philosophy,0100-LEC Conversion,Staff,35,19,16,0,0
15416,PHI 2010 - 0101   Introduction To Philosophy,0101-LEC Main Sess,Staff,35,31,4,0,0
15428,PHI 2010 - 0102   Introduction To Philosophy,0102-LEC Conversion,Staff,35,24,11,0,0
15417,PHI 2010 - 0103   Introduction To Philosophy,0103-LEC Main Sess,Staff,35,0,35,0,0
15418,PHI 2010 - 0104   Introduction To Philosophy,0104-LEC Main Sess,Staff,35,27,8,0,0
12012,RTE 2010 - 0001   New Imaging Modalities In Radiology,0001-LEC Eight Wk 2,Staff,45,0,45,0,0
13230,SYG 2010 - 0001   Social Problems,0001-LEC Main Sess,Staff,40,28,12,0,0
13229,SYG 2010 - 0002   Social Problems,0002-LEC Main Sess,Staff,40,0,40,0,0
11109,TAX 2010 - 0001   Business Taxes & Returns,0001-LEC Twelve Wk,Staff,24,15,9,0,0
11107,TAX 2010 - 0002   Business Taxes & Returns,0002-LEC Main Sess,Staff,25,12,13,0,0
11110,TAX 2010 - 0003   Business Taxes & Returns,0003-LEC Twelve Wk,Staff,30,13,17,0,0
11112,TAX 2010 - 0004   Business Taxes & Returns,0004-LEC Eight Wk 2,Staff,30,24,6,0,0
11108,TAX 2010 - 0005   Business Taxes & Returns,0005-LEC Main Sess,Staff,30,0,30,0,0
11111,TAX 2010 - 0006   Business Taxes & Returns,0006-LEC Twelve Wk,Staff,30,0,30,0,0
17250,TRA 2010 - 0001   Introduction To Transportation And Logistics,0001-LEC Eight Wk 1,Staff,30,27,3,0,0
14642,IDH 2004 - 0001   Honors Leadership Seminar 4,0001-LEC Main Sess,Staff,20,16,4,0,0
14643,IDH 2004 - 0002   Honors Leadership Seminar 4,0002-LEC Main Sess,Staff,20,18,2,0,0
14644,IDH 2004 - 0003   Honors Leadership Seminar 4,0003-LEC Main Sess,Staff,20,14,6,0,0
14652,IDH 2004 - 0005   Honors Leadership Seminar 4,0005-LEC Conversion,Staff,25,22,3,0,0
14645,IDH 2004 - 0006   Honors Leadership Seminar 4,0006-LEC Main Sess,Staff,25,0,25,0,0
14650,IDH 2004 - 0010   Honors Leadership Seminar 4,0010-LEC Main Sess,Staff,23,16,7,0,0
14649,IDH 2004 - 0011   Honors Leadership Seminar 4,0011-LEC Main Sess,Staff,25,20,5,0,0
14648,IDH 2004 - 0012   Honors Leadership Seminar 4,0012-LEC Main Sess,Staff,25,0,25,0,0
14665,LIS 2004 - 0001   Introduction to Internet Research,0001-LEC Twelve Wk,Staff,25,0,25,0,0
14666,LIS 2004 - 0002   Introduction to Internet Research,0002-LEC Twelve Wk,Staff,25,0,25,0,0
14673,LIS 2004 - 0003   Introduction to Internet Research,0003-LEC Eight Wk 2,Staff,20,16,4,0,0
14658,LIS 2004 - 0004   Introduction to Internet Research,0004-LEC Main Sess,Staff,20,0,20,0,0
14672,LIS 2004 - 0005   Introduction to Internet Research,0005-LEC Eight Wk 1,Staff,20,12,8,0,0
14671,LIS 2004 - 0006   Introduction to Internet Research,0006-LEC Eight Wk 1,Staff,20,0,20,0,0
14659,LIS 2004 - 0007   Introduction to Internet Research,0007-LEC Main Sess,Staff,25,0,25,0,0
14660,LIS 2004 - 0008   Introduction to Internet Research,0008-LEC Main Sess,Staff,15,0,15,0,0
14661,LIS 2004 - 0009   Introduction to Internet Research,0009-LEC Main Sess,Staff,30,26,4,0,0
14662,LIS 2004 - 0010   Introduction to Internet Research,0010-LEC Main Sess,Staff,30,27,3,0,0
14663,LIS 2004 - 0011   Introduction to Internet Research,0011-LEC Main Sess,Staff,21,0,21,0,0
14664,LIS 2004 - 0012   Introduction to Internet Research,0012-LEC Main Sess,Staff,21,0,21,0,0
14674,LIS 2004 - 0013   Introduction to Internet Research,0013-LEC 1st Mon Sp,Staff,25,0,25,0,0
14670,LIS 2004 - 0014   Introduction to Internet Research,0014-LEC Twelve Wk,Staff,21,0,21,0,0
14669,LIS 2004 - 0015   Introduction to Internet Research,0015-LEC Twelve Wk,Staff,21,7,14,0,0
14675,LIS 2004 - 0016   Introduction to Internet Research,0016-LEC 1st Mon Sp,Staff,25,18,7,0,0
14668,LIS 2004 - 0017   Introduction to Internet Research,0017-LEC Twelve Wk,Staff,25,0,25,0,0
14667,LIS 2004 - 0018   Introduction to Internet Research,0018-LEC Twelve Wk,Staff,25,8,17,0,0
13091,PLA 2003 - 0001   Fundamentals Of Law,0001-LEC Main Sess,Staff,25,0,25,0,0
13092,PLA 2003 - 0002   Fundamentals Of Law,0002-LEC Main Sess,Staff,25,0,25,0,0
13097,PLA 2003 - 0003   Fundamentals Of Law,0003-LEC 1st Mon Sp,Staff,25,18,7,0,0
13093,PLA 2003 - 0004   Fundamentals Of Law,0004-LEC Main Sess,Staff,25,20,5,0,0
13094,PLA 2003 - 0005   Fundamentals Of Law,0005-LEC Main Sess,Staff,25,11,14,0,0
13095,PLA 2003 - 0006   Fundamentals Of Law,0006-LEC Main Sess,Staff,30,11,19,0,0
13096,PLA 2003 - 0007   Fundamentals Of Law,0007-LEC Main Sess,Staff,25,19,6,0,0
15699,PUR 2003 - 0001   Public Relations,0001-LEC Main Sess,Staff,30,14,16,0,0
15704,PUR 2003 - 0002   Public Relations,0002-LEC Twelve Wk,Staff,30,0,30,0,0
15700,PUR 2003 - 0003   Public Relations,0003-LEC Main Sess,Staff,36,32,4,0,0
15705,PUR 2003 - 0004   Public Relations,0004-LEC Twelve Wk,Staff,30,0,30,0,0
15701,PUR 2003 - 0005   Public Relations,0005-LEC Main Sess,Staff,45,0,45,0,0
15702,PUR 2003 - 0006   Public Relations,0006-LEC Main Sess,Staff,30,29,1,0,0
15703,PUR 2003 - 0007   Public Relations,0007-LEC Main Sess,Staff,30,28,2,0,0
8486,CJJ 2002 - 0001   Juvenile Delinquency,0001-LEC Main Sess,Staff,30,28,2,0,0
8494,CJJ 2002 - 0002   Juvenile Delinquency,0002-LEC Twelve Wk,Staff,30,13,17,0,0
8487,CJJ 2002 - 0003   Juvenile Delinquency,0003-LEC Main Sess,Staff,30,0,30,0,0
