Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
11910,MAN 4720 - 0013   Strategic Management Decision Making,0013-LEC Eight Wk 1,Staff,30,20,10,0,0
11911,MAN 4720 - 0014   Strategic Management Decision Making,0014-LEC Eight Wk 2,Staff,30,0,30,0,0
11912,MAN 4720 - 0015   Strategic Management Decision Making,0015-LEC Eight Wk 2,Staff,30,0,30,0,0
7243,CCJ 4678 - 0001   Race· Gender· Ethnicity & Crime,0001-LEC Conversion,Staff,30,0,30,0,0
7622,CJE 4675 - 0001   Modern Fingerprint Technology,0001-LEC Main Sess,Staff,30,15,15,0,0
16451,PCB 4674 - 0001   Evolution,0001-LEC 1st Mon Sp,Staff,30,26,4,0,0
7398,CJE 4668 - 0001   Computer Crime,0001-LEC Main Sess,Staff,40,31,9,0,0
13965,NUR 4667 - 0001   Globalization Of Nursing Practice,0001-LEC Main Sess,Staff,30,29,1,0,0
13966,NUR 4667 - 0002   Globalization Of Nursing Practice,0002-LEC Main Sess,Staff,30,24,6,0,0
13974,NUR 4667 - 0003   Globalization Of Nursing Practice,0003-LEC Conversion,Staff,30,0,30,0,0
13968,NUR 4667 - 0004   Globalization Of Nursing Practice,0004-LEC Conversion,Staff,30,12,18,0,0
13973,NUR 4667 - 0005   Globalization Of Nursing Practice,0005-LEC Conversion,Staff,40,0,40,0,0
13972,NUR 4667 - 0006   Globalization Of Nursing Practice,0006-LEC Conversion,Staff,40,30,10,0,0
13970,NUR 4667 - 0007   Globalization Of Nursing Practice,0007-LEC Conversion,Staff,40,34,6,0,0
13971,NUR 4667 - 0008   Globalization Of Nursing Practice,0008-LEC Conversion,Staff,40,7,33,0,0
13967,NUR 4667 - 0009   Globalization Of Nursing Practice,0009-LEC Conversion,Staff,30,0,30,0,0
13969,NUR 4667 - 0010   Globalization Of Nursing Practice,0010-LEC Conversion,Staff,30,0,30,0,0
7831,CET 4663 - 0001   Electronic Security,0001-LEC 1st Mon Sp,Staff,24,12,12,0,0
8270,CCJ 4660 - 0002   Crime· Violence· And Schools,0002-LEC Main Sess,Staff,30,17,13,0,0
