Class Number, Campus, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
7487,Hialeah Campus,MAC 2312 - 0020   Calculus and Analytical Geometry 2,0020-LEC Main Sess,Staff,25,15,10,0,0
7488,Hialeah Campus,MAC 2312 - 0021   Calculus and Analytical Geometry 2,0021-LEC Main Sess,Staff,30,0,30,0,0
7489,Hialeah Campus,MAC 2312 - 0022   Calculus and Analytical Geometry 2,0022-LEC Main Sess,Staff,33,0,33,0,0
7633,North Campus,EDG 2311 - 0001   Substitute Training,0001-LEC Conversion,Staff,30,21,9,0,0
7634,North Campus,EDG 2311 - 0002   Substitute Training,0002-LEC Conversion,Staff,19,18,1,0,0
7636,Homestead Campus,EDG 2311 - 0003   Substitute Training,0003-LEC Conversion,Staff,35,32,3,0,0
7635,Homestead Campus,EDG 2311 - 0004   Substitute Training,0004-LEC Conversion,Staff,30,26,4,0,0
7639,Homestead Campus,EDG 2311 - 0005   Substitute Training,0005-LEC Conversion,Staff,30,25,5,0,0
7644,InterAmerican Campus,EDG 2311 - 0006   Substitute Training,0006-LEC Conversion,Staff,30,24,6,0,0
7638,InterAmerican Campus,EDG 2311 - 0007   Substitute Training,0007-LEC Conversion,Staff,30,20,10,0,0
