Class Number, Campus, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
8668,Medical Campus,PAS 4946 - 0001   Physician Assistant Capstone Course,0001-CLN Main Sess,Staff,15,1,14,0,0
11367,InterAmerican Campus,MAE 4945 - 0001   Internship In Mathematics Education,0001-OTH Main Sess,Staff,8,7,1,0,0
11014,InterAmerican Campus,SCE 4945 - 0001   Internship In Science Education,0001-OTH Main Sess,Staff,4,3,1,0,0
16262,Medical Campus,HSC 4942 - 0001   Community Service Learning Practicum,0001-LEC Main Sess,Staff,15,1,14,0,0
16261,Medical Campus,HSC 4942 - 0002   Community Service Learning Practicum,0002-LEC Main Sess,Staff,15,3,12,0,0
7778,InterAmerican Campus,MAE 4942 - 0001   Seminar In Mathematics Education,0001-LEC Main Sess,Staff,8,7,1,0,0
7568,North Campus,MAN 4941 - 0001   Management Internship,0001-OTH Main Sess,Staff,40,28,12,0,0
7578,North Campus,MAN 4941 - 0002   Management Internship,0002-OTH Conversion,Staff,35,33,2,0,0
7576,North Campus,MAN 4941 - 0003   Management Internship,0003-OTH Conversion,Staff,36,0,36,0,0
7577,North Campus,MAN 4941 - 0004   Management Internship,0004-OTH Conversion,Staff,30,0,30,0,0
7569,Kendall Campus,MAN 4941 - 0005   Management Internship,0005-OTH Main Sess,Staff,36,27,9,0,0
7570,Kendall Campus,MAN 4941 - 0006   Management Internship,0006-OTH Main Sess,Staff,36,0,36,0,0
7579,Kendall Campus,MAN 4941 - 0007   Management Internship,0007-OTH Weekend,Staff,30,21,9,0,0
7571,Wolfson Campus,MAN 4941 - 0008   Management Internship,0008-OTH Main Sess,Staff,25,16,9,0,0
7572,Homestead Campus,MAN 4941 - 0010   Management Internship,0010-OTH Main Sess,Staff,30,18,12,0,0
7573,Homestead Campus,MAN 4941 - 0011   Management Internship,0011-OTH Main Sess,Staff,39,0,39,0,0
7809,North Campus,BSC 4940 - 0001   Senior Specialty Internship,0001-OTH Main Sess,Staff,24,19,5,0,0
12111,InterAmerican Campus,EEX 4940 - 0003   Internship In Special Education,0003-OTH Main Sess,Staff,8,0,8,0,0
11738,InterAmerican Campus,MAE 4940 - 0001   Advanced Topics In Mathematics Education Practicum,0001-OTH Main Sess,Staff,12,5,7,0,0
12105,InterAmerican Campus,EEC 4936 - 0002   Student Teaching Seminar I: Ece,0002-LEC Conversion,Staff,30,8,22,0,0
12372,Medical Campus,PAS 4936 - 0001   Contemporary Issues For The Pa,0001-LEC Main Sess,Staff,15,5,10,0,0
14506,InterAmerican Campus,EEX 4930 - 0002   Seminar In Special Education,0002-LEC Main Sess,Staff,10,8,2,0,0
14507,InterAmerican Campus,EEX 4930 - 0006   Seminar In Special Education,0006-LEC Main Sess,Staff,8,0,8,0,0
16290,North Campus,MAN 4900 - 0001   Capstone Project In Supervision And Management,0001-LEC Main Sess,Staff,30,12,18,0,0
16300,North Campus,MAN 4900 - 0002   Capstone Project In Supervision And Management,0002-LEC Conversion,Staff,30,14,16,0,0
16291,North Campus,MAN 4900 - 0003   Capstone Project In Supervision And Management,0003-LEC Main Sess,Staff,35,16,19,0,0
16292,North Campus,MAN 4900 - 0004   Capstone Project In Supervision And Management,0004-LEC Main Sess,Staff,30,0,30,0,0
16293,Kendall Campus,MAN 4900 - 0005   Capstone Project In Supervision And Management,0005-LEC Main Sess,Staff,36,0,36,0,0
16299,Kendall Campus,MAN 4900 - 0006   Capstone Project In Supervision And Management,0006-LEC Conversion,Staff,36,22,14,0,0
16303,Kendall Campus,MAN 4900 - 0007   Capstone Project In Supervision And Management,0007-LEC Weekend,Staff,30,0,30,0,0
16294,Kendall Campus,MAN 4900 - 0008   Capstone Project In Supervision And Management,0008-LEC Main Sess,Staff,30,28,2,0,0
16301,Wolfson Campus,MAN 4900 - 0009   Capstone Project In Supervision And Management,0009-LEC 1st Mon Sp,Staff,35,12,23,0,0
16295,Homestead Campus,MAN 4900 - 0011   Capstone Project In Supervision And Management,0011-LEC Main Sess,Staff,39,0,39,0,0
16296,Homestead Campus,MAN 4900 - 0012   Capstone Project In Supervision And Management,0012-LEC Main Sess,Staff,30,21,9,0,0
16302,Hialeah Campus,MAN 4900 - 0014   Capstone Project In Supervision And Management,0014-LEC 1st Mon Sp,Staff,30,0,30,0,0
6683,Wolfson Campus,COP 4834 - 0001   Data Driven Web Applications (Web Administration),0001-LEC Main Sess,Staff,30,26,4,0,0
6676,Kendall Campus,EEX 4833 - 0001   Practicum In Special Education,0001-OTH Main Sess,Staff,15,7,8,0,0
6678,InterAmerican Campus,EEX 4833 - 0002   Practicum In Special Education,0002-OTH Main Sess,Staff,15,14,1,0,0
9064,Wolfson Campus,NUR 4827 - 0002   Leadership And Management Theory,0002-LEC Main Sess,Staff,30,11,19,0,0
9066,Medical Campus,NUR 4827 - 0004   Leadership And Management Theory,0004-LEC Conversion,Staff,40,33,7,0,0
9068,Medical Campus,NUR 4827 - 0005   Leadership And Management Theory,0005-LEC Conversion,Staff,40,13,27,0,0
10331,North Campus,FES 4823 - 0001   Integrated Emergency Management Planning Systems,0001-LEC Twelve Wk,Staff,40,0,40,0,0
6672,Kendall Campus,EEX 4764 - 0001   Instructional And Assistive Technology In Special Education,0001-LEC Conversion,Staff,20,15,5,0,0
6673,InterAmerican Campus,EEX 4764 - 0002   Instructional And Assistive Technology In Special Education,0002-LEC 1st Mon Sp,Staff,30,0,30,0,0
8522,North Campus,COP 4723 - 0001   Database Administration,0001-LEC Main Sess,Staff,40,0,40,0,0
8525,North Campus,COP 4723 - 0002   Database Administration,0002-LEC Main Sess,Staff,40,14,26,0,0
8524,Wolfson Campus,COP 4723 - 0003   Database Administration,0003-LEC Main Sess,Staff,28,20,8,0,0
8523,Wolfson Campus,COP 4723 - 0004   Database Administration,0004-LEC Main Sess,Staff,28,14,14,0,0
11902,North Campus,MAN 4720 - 0001   Strategic Management Decision Making,0001-LEC Main Sess,Staff,43,40,3,0,0
11903,North Campus,MAN 4720 - 0002   Strategic Management Decision Making,0002-LEC Main Sess,Staff,35,0,35,0,0
11916,North Campus,MAN 4720 - 0003   Strategic Management Decision Making,0003-LEC Conversion,Staff,30,0,30,0,0
11913,North Campus,MAN 4720 - 0004   Strategic Management Decision Making,0004-LEC Conversion,Staff,35,9,26,0,0
11915,North Campus,MAN 4720 - 0005   Strategic Management Decision Making,0005-LEC Conversion,Staff,35,10,25,0,0
11909,Kendall Campus,MAN 4720 - 0006   Strategic Management Decision Making,0006-LEC Main Sess,Staff,45,0,45,0,0
11908,Kendall Campus,MAN 4720 - 0007   Strategic Management Decision Making,0007-LEC Main Sess,Staff,32,23,9,0,0
11907,Kendall Campus,MAN 4720 - 0008   Strategic Management Decision Making,0008-LEC Main Sess,Staff,35,24,11,0,0
11914,Wolfson Campus,MAN 4720 - 0009   Strategic Management Decision Making,0009-LEC Conversion,Staff,30,18,12,0,0
11906,Wolfson Campus,MAN 4720 - 0010   Strategic Management Decision Making,0010-LEC Main Sess,Staff,30,10,20,0,0
11905,Homestead Campus,MAN 4720 - 0011   Strategic Management Decision Making,0011-LEC Main Sess,Staff,25,20,5,0,0
11904,InterAmerican Campus,MAN 4720 - 0012   Strategic Management Decision Making,0012-LEC Main Sess,Staff,30,24,6,0,0
11910,Hialeah Campus,MAN 4720 - 0013   Strategic Management Decision Making,0013-LEC Eight Wk 1,Staff,30,20,10,0,0
11911,Hialeah Campus,MAN 4720 - 0014   Strategic Management Decision Making,0014-LEC Eight Wk 2,Staff,30,0,30,0,0
11912,Hialeah Campus,MAN 4720 - 0015   Strategic Management Decision Making,0015-LEC Eight Wk 2,Staff,30,0,30,0,0
7243,North Campus,CCJ 4678 - 0001   Race· Gender· Ethnicity & Crime,0001-LEC Conversion,Staff,30,0,30,0,0
7622,North Campus,CJE 4675 - 0001   Modern Fingerprint Technology,0001-LEC Main Sess,Staff,30,15,15,0,0
16451,Wolfson Campus,PCB 4674 - 0001   Evolution,0001-LEC 1st Mon Sp,Staff,30,26,4,0,0
7398,North Campus,CJE 4668 - 0001   Computer Crime,0001-LEC Main Sess,Staff,40,31,9,0,0
13965,Wolfson Campus,NUR 4667 - 0001   Globalization Of Nursing Practice,0001-LEC Main Sess,Staff,30,29,1,0,0
13966,Wolfson Campus,NUR 4667 - 0002   Globalization Of Nursing Practice,0002-LEC Main Sess,Staff,30,24,6,0,0
13974,Medical Campus,NUR 4667 - 0003   Globalization Of Nursing Practice,0003-LEC Conversion,Staff,30,0,30,0,0
13968,Medical Campus,NUR 4667 - 0004   Globalization Of Nursing Practice,0004-LEC Conversion,Staff,30,12,18,0,0
13973,Medical Campus,NUR 4667 - 0005   Globalization Of Nursing Practice,0005-LEC Conversion,Staff,40,0,40,0,0
13972,Medical Campus,NUR 4667 - 0006   Globalization Of Nursing Practice,0006-LEC Conversion,Staff,40,30,10,0,0
13970,Medical Campus,NUR 4667 - 0007   Globalization Of Nursing Practice,0007-LEC Conversion,Staff,40,34,6,0,0
13971,Medical Campus,NUR 4667 - 0008   Globalization Of Nursing Practice,0008-LEC Conversion,Staff,40,7,33,0,0
13967,Homestead Campus,NUR 4667 - 0009   Globalization Of Nursing Practice,0009-LEC Conversion,Staff,30,0,30,0,0
13969,Homestead Campus,NUR 4667 - 0010   Globalization Of Nursing Practice,0010-LEC Conversion,Staff,30,0,30,0,0
7831,North Campus,CET 4663 - 0001   Electronic Security,0001-LEC 1st Mon Sp,Staff,24,12,12,0,0
8270,Kendall Campus,CCJ 4660 - 0002   Crime· Violence· And Schools,0002-LEC Main Sess,Staff,30,17,13,0,0
9537,Wolfson Campus,COP 4656 - 0001   Mobile Applications Development,0001-LEC Main Sess,Staff,28,0,28,0,0
9014,North Campus,CCJ 4651 - 0001   Drugs And Crime,0001-LEC Main Sess,Staff,40,32,8,0,0
9015,North Campus,CCJ 4651 - 0002   Drugs And Crime,0002-LEC Twelve Wk,Staff,40,0,40,0,0
9016,North Campus,CCJ 4651 - 0003   Drugs And Crime,0003-LEC Conversion,Staff,30,26,4,0,0
6660,North Campus,CJE 4650 - 0001   Advanced Crime Scene Investigations,0001-LEC Main Sess,Staff,40,0,40,0,0
8430,North Campus,CJE 4648 - 0001   Crime Scene Safety,0001-LEC Main Sess,Staff,40,0,40,0,0
13868,North Campus,CJE 4647 - 0001   Advanced Crime Scene Technology,0001-LEC Main Sess,Staff,30,8,22,0,0
5924,North Campus,CCJ 4641 - 0001   Organized Crime,0001-LEC Twelve Wk,Staff,40,29,11,0,0
12322,Wolfson Campus,NUR 4636 - 0001   Community Health Nursing,0001-LEC Main Sess,Staff,30,29,1,0,0
12324,Wolfson Campus,NUR 4636 - 0002   Community Health Nursing,0002-LEC Main Sess,Staff,30,10,20,0,0
12323,Wolfson Campus,NUR 4636 - 0003   Community Health Nursing,0003-LEC Main Sess,Staff,30,0,30,0,0
12329,Medical Campus,NUR 4636 - 0004   Community Health Nursing,0004-LEC Conversion,Staff,40,0,40,0,0
12327,Medical Campus,NUR 4636 - 0005   Community Health Nursing,0005-LEC Conversion,Staff,40,0,40,0,0
12330,Medical Campus,NUR 4636 - 0006   Community Health Nursing,0006-LEC Conversion,Staff,40,34,6,0,0
12328,Medical Campus,NUR 4636 - 0007   Community Health Nursing,0007-LEC Conversion,Staff,40,20,20,0,0
12326,Medical Campus,NUR 4636 - 0008   Community Health Nursing,0008-LEC Conversion,Staff,40,19,21,0,0
12331,Medical Campus,NUR 4636 - 0009   Community Health Nursing,0009-LEC Conversion,Staff,40,0,40,0,0
12325,Homestead Campus,NUR 4636 - 0010   Community Health Nursing,0010-LEC Eight Wk 2,Staff,30,12,18,0,0
16430,Medical Campus,NUR 4636L - 0001   Community Health Nursing Practicum,0001-CLN Main Sess,Staff,12,0,12,0,0
16431,Medical Campus,NUR 4636L - 0002   Community Health Nursing Practicum,0002-CLN Main Sess,Staff,12,9,3,0,0
16433,Medical Campus,NUR 4636L - 0004   Community Health Nursing Practicum,0004-CLN Main Sess,Staff,12,11,1,0,0
16434,Medical Campus,NUR 4636L - 0005   Community Health Nursing Practicum,0005-CLN Main Sess,Staff,12,8,4,0,0
16436,Medical Campus,NUR 4636L - 0007   Community Health Nursing Practicum,0007-CLN Main Sess,Staff,12,11,1,0,0
16438,Medical Campus,NUR 4636L - 0008   Community Health Nursing Practicum,0008-CLN Main Sess,Staff,12,11,1,0,0
16439,Medical Campus,NUR 4636L - 0009   Community Health Nursing Practicum,0009-CLN Main Sess,Staff,12,10,2,0,0
16440,Medical Campus,NUR 4636L - 0010   Community Health Nursing Practicum,0010-CLN Main Sess,Staff,12,6,6,0,0
16437,Medical Campus,NUR 4636L - 0012   Community Health Nursing Practicum,0012-CLN Main Sess,Staff,10,6,4,0,0
16442,Homestead Campus,NUR 4636L - 0013   Community Health Nursing Practicum,0013-CLN Eight Wk 2,Staff,10,0,10,0,0
7589,Wolfson Campus,CIS 4617 - 0002   Knowledge Management,0002-LEC Main Sess,Staff,28,12,16,0,0
7590,Wolfson Campus,CIS 4617 - 0003   Knowledge Management,0003-LEC Main Sess,Staff,28,15,13,0,0
13867,Kendall Campus,CJE 4615 - 0002   Advanced Criminal Investigations,0002-LEC Twelve Wk,Staff,30,15,15,0,0
9274,InterAmerican Campus,EEX 4613 - 0001   Behavior Supports And Management For Students Withautism Spectrum Disorders,0001-LEC Conversion,Staff,21,0,21,0,0
14678,Kendall Campus,MAN 4523 - 0001   Production Information Systems,0001-LEC Main Sess,Staff,25,12,13,0,0
9690,Kendall Campus,MAN 4520 - 0001   Quality Management,0001-LEC Main Sess,Staff,35,30,5,0,0
16946,Kendall Campus,RED 4519 - 0001   Diagnosis And Instructional Intervention In Reading,0001-LEC Main Sess,Staff,28,9,19,0,0
16947,InterAmerican Campus,RED 4519 - 0002   Diagnosis And Instructional Intervention In Reading,0002-LEC Main Sess,Staff,28,0,28,0,0
16948,InterAmerican Campus,RED 4519 - 0003   Diagnosis And Instructional Intervention In Reading,0003-LEC Main Sess,Staff,21,19,2,0,0
16949,InterAmerican Campus,RED 4519 - 0004   Diagnosis And Instructional Intervention In Reading,0004-LEC Weekend,Staff,28,15,13,0,0
9532,North Campus,CJL 4514 - 0001   Criminal Sentencing,0001-LEC Twelve Wk,Staff,30,0,30,0,0
16744,Wolfson Campus,MCB 4503 - 0001   Virology,0001-LEC Main Sess,Staff,24,6,18,0,0
9633,Medical Campus,PAS 4470 - 0001   Physician Assistant Practice Management,0001-LEC Main Sess,Staff,15,4,11,0,0
7823,North Campus,CCJ 4450 - 0001   Criminal Justice Administration,0001-LEC Main Sess,Staff,40,30,10,0,0
7824,North Campus,CCJ 4450 - 0002   Criminal Justice Administration,0002-LEC Twelve Wk,Staff,40,15,25,0,0
7826,Kendall Campus,CCJ 4450 - 0003   Criminal Justice Administration,0003-LEC Conversion,Staff,40,0,40,0,0
5570,InterAmerican Campus,EDF 4430 - 0001   Measurement And Assessment In Education,0001-LEC Conversion,Staff,21,20,1,0,0
5568,InterAmerican Campus,EDF 4430 - 0003   Measurement And Assessment In Education,0003-LEC Main Sess,Staff,21,0,21,0,0
5340,North Campus,BSC 4422 - 0001   Biotechnology Methods And Applications - Iii,0001-LEC Main Sess,Staff,30,19,11,0,0
7992,North Campus,BSC 4422L - 0001   Biotechnology Methods And Applications - Iii Lab,0001-LAB Main Sess,Staff,30,19,11,0,0
16251,Kendall Campus,GEB 4363 - 0001   Import Export Management,0001-LEC Main Sess,Staff,35,32,3,0,0
11011,Kendall Campus,SCE 4362 - 0001   Methods Of Teaching Science,0001-LEC Main Sess,Staff,28,0,28,0,0
11013,InterAmerican Campus,SCE 4362 - 0002   Methods Of Teaching Science,0002-LEC 1st Mon Sp,Staff,28,16,12,0,0
11012,InterAmerican Campus,SCE 4362 - 0003   Methods Of Teaching Science,0003-LEC Main Sess,Staff,28,0,28,0,0
13486,Kendall Campus,MAE 4360 - 0001   Methods Of Teaching Mathematics,0001-LEC Main Sess,Staff,28,0,28,0,0
13489,InterAmerican Campus,MAE 4360 - 0002   Methods Of Teaching Mathematics,0002-LEC Main Sess,Staff,28,17,11,0,0
13488,InterAmerican Campus,MAE 4360 - 0003   Methods Of Teaching Mathematics,0003-LEC Main Sess,Staff,28,0,28,0,0
13487,InterAmerican Campus,MAE 4360 - 0004   Methods Of Teaching Mathematics,0004-LEC Main Sess,Staff,28,14,14,0,0
7492,North Campus,MAN 4350 - 0001   Professional Development,0001-LEC Conversion,Staff,30,15,15,0,0
7493,North Campus,MAN 4350 - 0002   Professional Development,0002-LEC Conversion,Staff,30,6,24,0,0
7491,Hialeah Campus,MAN 4350 - 0003   Professional Development,0003-LEC Eight Wk 2,Staff,30,0,30,0,0
13854,Wolfson Campus,CIS 4347 - 0002   Information Storage Management,0002-LEC Main Sess,Staff,28,10,18,0,0
13855,Wolfson Campus,CIS 4347 - 0003   Information Storage Management,0003-LEC Main Sess,Staff,22,17,5,0,0
17255,North Campus,EDG 4343 - 0001   Instructional Strategies for P-12 Teachers,0001-LEC Conversion,Staff,30,19,11,0,0
13863,North Campus,CJC 4311 - 0001   Contemporary Issues And Trends In Corrections,0001-LEC 1st Mon Sp,Staff,40,0,40,0,0
13862,North Campus,CJC 4311 - 0002   Contemporary Issues And Trends In Corrections,0002-LEC Twelve Wk,Staff,40,0,40,0,0
13861,Wolfson Campus,CJC 4311 - 0003   Contemporary Issues And Trends In Corrections,0003-LEC Main Sess,Staff,34,0,34,0,0
12654,Kendall Campus,TSL 4311 - 0001   Esol Ii: Teaching And Assessing Esol Students,0001-LEC Main Sess,Staff,28,19,9,0,0
12656,InterAmerican Campus,TSL 4311 - 0002   Esol Ii: Teaching And Assessing Esol Students,0002-LEC Main Sess,Staff,28,21,7,0,0
12655,InterAmerican Campus,TSL 4311 - 0003   Esol Ii: Teaching And Assessing Esol Students,0003-LEC Main Sess,Staff,28,0,28,0,0
17252,North Campus,TSL 4310 - 0001   Esol In Ece Ii,0001-LEC Main Sess,Staff,25,0,25,0,0
17251,Kendall Campus,TSL 4310 - 0002   Esol In Ece Ii,0002-LEC Main Sess,Staff,25,17,8,0,0
10042,InterAmerican Campus,EEX 4294 - 0001   Differentiated Instruction In Mixed-Ability Classrooms,0001-LEC Conversion,Staff,21,11,10,0,0
11083,North Campus,EEC 4268 - 0001   Designing And Implementing An Integrated Curriculum (Practicum),0001-LEC Main Sess,Staff,15,0,15,0,0
11085,North Campus,EEC 4268 - 0002   Designing And Implementing An Integrated Curriculum (Practicum),0002-LEC Main Sess,Staff,15,5,10,0,0
11084,Kendall Campus,EEC 4268 - 0003   Designing And Implementing An Integrated Curriculum (Practicum),0003-LEC Main Sess,Staff,15,13,2,0,0
12649,Homestead Campus,TRA 4234 - 0001   Warehouse Management,0001-LEC Eight Wk 2,Staff,30,0,30,0,0
12648,Homestead Campus,TRA 4234 - 0002   Warehouse Management,0002-LEC Eight Wk 2,Staff,30,1,29,0,0
10300,InterAmerican Campus,EEX 4221 - 0001   Assessment In Special Education,0001-LEC Main Sess,Staff,30,0,30,0,0
10299,InterAmerican Campus,EEX 4221 - 0002   Assessment In Special Education,0002-LEC Main Sess,Staff,21,11,10,0,0
6286,North Campus,EEC 4219 - 0001   Science· Technology· And Mathematics (Stem) Methods For Ece Ii,0001-LEC Main Sess,Staff,25,13,12,0,0
6288,North Campus,EEC 4219 - 0002   Science· Technology· And Mathematics (Stem) Methods For Ece Ii,0002-LEC Main Sess,Staff,25,0,25,0,0
6287,Kendall Campus,EEC 4219 - 0003   Science· Technology· And Mathematics (Stem) Methods For Ece Ii,0003-LEC Main Sess,Staff,30,19,11,0,0
14196,North Campus,DSC 4215 - 0001   Emergency Planning & Security Measures,0001-LEC Main Sess,Staff,40,0,40,0,0
6861,North Campus,DSC 4214 - 0001   Catastrophic Event Response Management,0001-LEC Main Sess,Staff,40,0,40,0,0
7775,North Campus,LAE 4211 - 0001   Methods And Resources For Literacy Development In Young Children,0001-LEC Main Sess,Staff,25,0,25,0,0
7774,Kendall Campus,LAE 4211 - 0002   Methods And Resources For Literacy Development In Young Children,0002-LEC Main Sess,Staff,25,18,7,0,0
8355,North Campus,FIL 4164 - 0001   Advanced Writing For Film And Television,0001-LEC 1st Mon Sp,Staff,30,28,2,0,0
8354,North Campus,FIL 4164 - 0002   Advanced Writing For Film And Television,0002-LEC Main Sess,Staff,30,19,11,0,0
7025,North Campus,CJC 4163 - 0001   Advanced Probation & Parole,0001-LEC Main Sess,Staff,60,49,11,0,0
7026,Kendall Campus,CJC 4163 - 0002   Advanced Probation & Parole,0002-LEC Main Sess,Staff,30,0,30,0,0
7027,Kendall Campus,CJC 4163 - 0003   Advanced Probation & Parole,0003-LEC Twelve Wk,Staff,36,13,23,0,0
13796,North Campus,MAN 4162 - 0001   Customer Relations For Managers,0001-LEC Main Sess,Staff,30,23,7,0,0
13804,North Campus,MAN 4162 - 0002   Customer Relations For Managers,0002-LEC Eight Wk 1,Staff,20,10,10,0,0
13813,North Campus,MAN 4162 - 0003   Customer Relations For Managers,0003-LEC Conversion,Staff,30,0,30,0,0
13812,North Campus,MAN 4162 - 0004   Customer Relations For Managers,0004-LEC Conversion,Staff,30,26,4,0,0
13797,Kendall Campus,MAN 4162 - 0005   Customer Relations For Managers,0005-LEC Main Sess,Staff,36,13,23,0,0
13798,Kendall Campus,MAN 4162 - 0006   Customer Relations For Managers,0006-LEC Main Sess,Staff,35,0,35,0,0
13799,Kendall Campus,MAN 4162 - 0007   Customer Relations For Managers,0007-LEC Main Sess,Staff,35,27,8,0,0
13809,Kendall Campus,MAN 4162 - 0008   Customer Relations For Managers,0008-LEC Eight Wk 2,Staff,35,0,35,0,0
13814,Kendall Campus,MAN 4162 - 0009   Customer Relations For Managers,0009-LEC Weekend,Staff,45,0,45,0,0
13810,Wolfson Campus,MAN 4162 - 0010   Customer Relations For Managers,0010-LEC Conversion,Staff,30,0,30,0,0
13811,Wolfson Campus,MAN 4162 - 0011   Customer Relations For Managers,0011-LEC Conversion,Staff,30,27,3,0,0
13800,Wolfson Campus,MAN 4162 - 0012   Customer Relations For Managers,0012-LEC Main Sess,Staff,30,8,22,0,0
13808,Wolfson Campus,MAN 4162 - 0013   Customer Relations For Managers,0013-LEC Eight Wk 2,Staff,30,26,4,0,0
13802,Homestead Campus,MAN 4162 - 0014   Customer Relations For Managers,0014-LEC Main Sess,Staff,25,0,25,0,0
13807,Homestead Campus,MAN 4162 - 0015   Customer Relations For Managers,0015-LEC Eight Wk 2,Staff,25,11,14,0,0
13803,Hialeah Campus,MAN 4162 - 0017   Customer Relations For Managers,0017-LEC Eight Wk 1,Staff,30,26,4,0,0
13805,Hialeah Campus,MAN 4162 - 0018   Customer Relations For Managers,0018-LEC Eight Wk 2,Staff,25,5,20,0,0
13806,Hialeah Campus,MAN 4162 - 0019   Customer Relations For Managers,0019-LEC Eight Wk 2,Staff,35,0,35,0,0
7068,North Campus,CJL 4133 - 0001   Criminal Evidence,0001-LEC Main Sess,Staff,40,20,20,0,0
16272,North Campus,MAN 4120 - 0001   Leadership Challenges And Supervision,0001-LEC Main Sess,Staff,40,16,24,0,0
16287,North Campus,MAN 4120 - 0002   Leadership Challenges And Supervision,0002-LEC Conversion,Staff,35,22,13,0,0
16273,North Campus,MAN 4120 - 0003   Leadership Challenges And Supervision,0003-LEC Main Sess,Staff,35,0,35,0,0
16280,Kendall Campus,MAN 4120 - 0004   Leadership Challenges And Supervision,0004-LEC Main Sess,Staff,35,31,4,0,0
16279,Kendall Campus,MAN 4120 - 0005   Leadership Challenges And Supervision,0005-LEC Main Sess,Staff,25,0,25,0,0
16289,Kendall Campus,MAN 4120 - 0006   Leadership Challenges And Supervision,0006-LEC Weekend,Staff,45,11,34,0,0
16278,Wolfson Campus,MAN 4120 - 0007   Leadership Challenges And Supervision,0007-LEC Main Sess,Staff,30,0,30,0,0
16277,Wolfson Campus,MAN 4120 - 0008   Leadership Challenges And Supervision,0008-LEC Main Sess,Staff,30,8,22,0,0
16286,Wolfson Campus,MAN 4120 - 0009   Leadership Challenges And Supervision,0009-LEC Conversion,Staff,30,4,26,0,0
16276,Wolfson Campus,MAN 4120 - 0010   Leadership Challenges And Supervision,0010-LEC Main Sess,Staff,30,0,30,0,0
16288,Wolfson Campus,MAN 4120 - 0011   Leadership Challenges And Supervision,0011-LEC Conversion,Staff,30,25,5,0,0
16285,Homestead Campus,MAN 4120 - 0012   Leadership Challenges And Supervision,0012-LEC Conversion,Staff,25,0,25,0,0
16275,Homestead Campus,MAN 4120 - 0013   Leadership Challenges And Supervision,0013-LEC Main Sess,Staff,25,0,25,0,0
16284,Homestead Campus,MAN 4120 - 0014   Leadership Challenges And Supervision,0014-LEC Eight Wk 2,Staff,25,6,19,0,0
16274,InterAmerican Campus,MAN 4120 - 0015   Leadership Challenges And Supervision,0015-LEC Main Sess,Staff,25,15,10,0,0
16282,Hialeah Campus,MAN 4120 - 0017   Leadership Challenges And Supervision,0017-LEC Eight Wk 2,Staff,30,0,30,0,0
16281,Hialeah Campus,MAN 4120 - 0018   Leadership Challenges And Supervision,0018-LEC Eight Wk 1,Staff,30,0,30,0,0
13076,North Campus,PCB 4097 - 0001   Human Physiology,0001-LEC Main Sess,Staff,30,16,14,0,0
10298,InterAmerican Campus,EEX 4094 - 0001   Nature And Needs Of Students With Autism Spectrum Disorders,0001-LEC Conversion,Staff,21,7,14,0,0
5923,North Campus,CCJ 4054 - 0001   Ethics In The Criminal Justice System,0001-LEC Conversion,Staff,40,28,12,0,0
5922,North Campus,CCJ 4054 - 0002   Ethics In The Criminal Justice System,0002-LEC Twelve Wk,Staff,40,33,7,0,0
10301,InterAmerican Campus,EGI 4050 - 0001   Nature And Needs Of Gifted Students,0001-LEC Conversion,Staff,28,14,14,0,0
8040,InterAmerican Campus,EEX 4024 - 0001   Legal Issues For Working With Students With Exceptionalities,0001-LEC Conversion,Staff,21,6,15,0,0
11978,North Campus,PCB 4023 - 0001   Molecular And Cell Biology,0001-LEC Main Sess,Staff,32,28,4,0,0
8543,North Campus,DSC 4012 - 0001   Terrorism,0001-LEC Twelve Wk,Staff,80,55,25,0,0
8542,Kendall Campus,DSC 4012 - 0002   Terrorism,0002-LEC Main Sess,Staff,36,19,17,0,0
11284,InterAmerican Campus,EEX 4012 - 0001   Introduction To Brain-Based Teaching Strategies,0001-LEC Conversion,Staff,21,0,21,0,0
11285,InterAmerican Campus,EEX 4012 - 0002   Introduction To Brain-Based Teaching Strategies,0002-LEC Conversion,Staff,21,19,2,0,0
11286,InterAmerican Campus,EEX 4012 - 0003   Introduction To Brain-Based Teaching Strategies,0003-LEC Conversion,Staff,28,0,28,0,0
6410,North Campus,ISM 4011 - 0001   Management Information Systems,0001-LEC Main Sess,Staff,25,19,6,0,0
6411,North Campus,ISM 4011 - 0002   Management Information Systems,0002-LEC Main Sess,Staff,25,0,25,0,0
6420,North Campus,ISM 4011 - 0003   Management Information Systems,0003-LEC Conversion,Staff,35,16,19,0,0
6423,Kendall Campus,ISM 4011 - 0005   Management Information Systems,0005-LEC Weekend,Staff,25,18,7,0,0
6413,Kendall Campus,ISM 4011 - 0006   Management Information Systems,0006-LEC Main Sess,Staff,25,13,12,0,0
6414,Kendall Campus,ISM 4011 - 0007   Management Information Systems,0007-LEC Main Sess,Staff,25,10,15,0,0
6421,Wolfson Campus,ISM 4011 - 0008   Management Information Systems,0008-LEC Conversion,Staff,30,0,30,0,0
6419,Wolfson Campus,ISM 4011 - 0009   Management Information Systems,0009-LEC Conversion,Staff,25,0,25,0,0
6422,Wolfson Campus,ISM 4011 - 0010   Management Information Systems,0010-LEC 1st Mon Sp,Staff,30,16,14,0,0
6415,Homestead Campus,ISM 4011 - 0011   Management Information Systems,0011-LEC Main Sess,Staff,25,10,15,0,0
