Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total11994,BSC 7982 - U01   Dissertation Defense Seminar,U01-G Regular,Jennifer Richards,10,4,6,0,0
10233,SYA 7967 - U02   Preparation: Preliminary Doctoral Exam,U02-Z Regular,Guillermo Grenier,10,1,9,0,0
10300,SYA 7967 - U03   Preparation: Preliminary Doctoral Exam,U03-Z Regular,Percy Hintzen,10,1,9,0,0
10301,SYA 7967 - U04   Preparation: Preliminary Doctoral Exam,U04-Z Regular,Archibald Kincaid,10,0,10,0,0
10414,SYA 7967 - U05   Preparation: Preliminary Doctoral Exam,U05-Z Regular,Abraham Lavender,10,0,10,0,0
10415,SYA 7967 - U06   Preparation: Preliminary Doctoral Exam,U06-Z Regular,Shearon Lowery,10,0,10,0,0
10416,SYA 7967 - U07   Preparation: Preliminary Doctoral Exam,U07-Z Regular,Qing Lai,10,1,9,0,0
10480,SYA 7967 - U08   Preparation: Preliminary Doctoral Exam,U08-Z Regular,Katherine Lineberger,10,0,10,0,0
32389,SYA 7967 - U09   Preparation: Preliminary Doctoral Exam,U09-Z Regular,Matthew David Marr,10,1,9,0,0
32390,SYA 7967 - U10   Preparation: Preliminary Doctoral Exam,U10-Z Regular,Vrushali Patil,10,0,10,0,0
32391,SYA 7967 - U11   Preparation: Preliminary Doctoral Exam,U11-Z Regular,Marifeli Perez-Stable,10,0,10,0,0
32392,SYA 7967 - U12   Preparation: Preliminary Doctoral Exam,U12-Z Regular,Richard Tardanico,10,0,10,0,0
10479,ANG 7964 - U01   Preparation: Preliminary Doctoral Exam,U01-O Regular,Jason Ritchie,5,0,5,0,0
10481,ANG 7964 - U02   Preparation: Preliminary Doctoral Exam,U02-O Regular,Andrea Queeley,5,0,5,0,0
32367,ANG 7964 - U03   Preparation: Preliminary Doctoral Exam,U03-O Regular,Jorge Duany,5,0,5,0,0
32368,ANG 7964 - U04   Preparation: Preliminary Doctoral Exam,U04-O Regular,Juliet Erazo,5,1,4,0,0
32369,ANG 7964 - U05   Preparation: Preliminary Doctoral Exam,U05-O Regular,Hugh Gladwin,5,0,5,0,0
32370,ANG 7964 - U06   Preparation: Preliminary Doctoral Exam,U06-O Regular,Sarah Mahler,5,0,5,0,0
